Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
G6PD		Xq28	HOMDEL	3	651	0.5%	No
RARRES1		3q25.32	HOMDEL	3	1425	0.2%	No
FXYD4		10q11.21	HOMDEL	2	902	0.2%	No
NTRK2		9q21.33	AMP	4	1062	0.4%	Yes
LINC01744		1q42.2	AMP	12	579	2.1%	No
RAB30		11q14.1	HOMDEL	4	1425	0.3%	No
JAK1		1p31.3	AMP	8	1062	0.8%	Yes
TXNRD2		22q11.21	HOMDEL	6	1062	0.6%	No
ZBTB1		14q23.3	AMP	8	1537	0.5%	No
LINC00703		10p15.1	HOMDEL	4	1062	0.4%	No
TUSC1		9p21.2	AMP	10	1425	0.7%	No
FRMD6		14q22.1	AMP	4	1062	0.4%	No
KCNIP2		10q24.32	HOMDEL	8	1425	0.6%	No
IGFBP4		17q21.2	HOMDEL	2	1062	0.2%	No
RNA5SP116		2q33.3	HOMDEL	2	539	0.4%	No
CD81-AS1		11p15.5	AMP	3	523	0.6%	No
NTRK1		1q23.1	AMP	78	1734	4.5%	Yes
FUCA2		6q24.2	AMP	8	1481	0.5%	No
LNPK		2q31.1	AMP	9	1537	0.6%	No
SLC22A25		11q12.3	AMP	13	1537	0.8%	No
RPEL1		10q24.33	AMP	5	886	0.6%	No
CFAP298		21q22.11	AMP	8	1014	0.8%	No
SLC31A2		9q32	AMP	9	1062	0.8%	No
TMEM138		11q12.2	AMP	11	1537	0.7%	No
BAHD1		15q15.1	AMP	1	539	0.2%	No
FGFR2		10q26.13	HOMDEL	3	1062	0.3%	Yes
ARHGEF12		11q23.3	HOMDEL	8	1537	0.5%	Yes
DIS3		13q21.33	AMP	8	1211	0.7%	Yes
NR5A1		9q33.3	AMP	5	1174	0.4%	No
TRARG1		17p13.3	HOMDEL	4	1425	0.3%	No
WASHC2C		10q11.22	AMP	1	539	0.2%	No
PARD6G		18q23	AMP	9	1537	0.6%	No
KDM7A		7q34	AMP	15	1537	1.0%	No
RN7SKP254		15q26.2	HOMDEL	1	539	0.2%	No
NTHL1		16p13.3	AMP	16	1537	1.0%	Yes
STAG3L5P-PVRIG2P-PILRB		7q22.1	AMP	11	579	1.9%	No
HIF1A		14q23.2	HOMDEL	3	902	0.3%	Yes
ATP6V0C		16p13.3	HOMDEL	1	539	0.2%	No
JAG2		14q32.33	AMP	28	1537	1.8%	No
CXXC5		5q31.2	AMP	15	1537	1.0%	No
RN7SL657P		1p36.33	AMP	6	595	1.0%	No
MCMDC2		8q13.1	AMP	42	1537	2.7%	No
CYMP		1p13.3	HOMDEL	4	1425	0.3%	No
ZBED1		Xp22.33 and Yp11	HOMDEL	8	1118	0.7%	No
FUCA1		1p36.11	AMP	7	1014	0.7%	No
SETD7		4q31.1	AMP	6	1537	0.4%	Yes
ZNF286B		17p11.2	AMP	13	1537	0.8%	No
CALHM1		10q24.33	AMP	13	1425	0.9%	No
FAXC		6q16.2	AMP	5	1118	0.4%	No
RPS25		11q23.3	HOMDEL	8	1537	0.5%	No
KLF6		10p15.2	AMP	19	1537	1.2%	Yes
AHCTF1P1		2q24.2	AMP	2	579	0.3%	No
IVL		1q21.3	AMP	78	1537	5.1%	No
OSER1		20q13.12	AMP	39	1537	2.5%	No
GMNC		3q28	HOMDEL	4	1062	0.4%	No
MAPKAPK3		3p21.2	HOMDEL	5	1425	0.4%	No
REM2		14q11.2	AMP	13	1425	0.9%	No
KLHDC8A		1q32.1	AMP	69	1537	4.5%	No
PARL		3q27.1	AMP	110	1537	7.2%	No
STEAP1B		7p15.3	AMP	21	1174	1.8%	No
LINC01799		2p14	AMP	4	523	0.8%	No
ASTN2		9q33.1	HOMDEL	19	1537	1.2%	No
SLC31A1		9q32	AMP	15	1425	1.1%	No
LIG1		19q13.33	AMP	14	1174	1.2%	No
IVD		15q15.1	AMP	2	595	0.3%	No
NBR1		17q21.31	AMP	9	1537	0.6%	No
RN7SL397P		3q13.33	HOMDEL	1	539	0.2%	No
OR5AR1		11q12.1	AMP	7	1174	0.6%	No
SNORD64		15q11.2	HOMDEL	4	579	0.7%	No
RSKR		17q11.2	AMP	37	1537	2.4%	No
ADAM2		8p11.22	AMP	54	1537	3.5%	No
GAPDHS		19q13.12	HOMDEL	2	1062	0.2%	No
RPH3A		12q24.13	AMP	12	1537	0.8%	No
GOLGA7B		10q24.2	AMP	8	1425	0.6%	No
MAMSTR		19q13.33	HOMDEL	4	1062	0.4%	No
H2AB1		Xq28	HOMDEL	6	1174	0.5%	No
EME2		16p13.3	HOMDEL	3	1062	0.3%	No
RNA5SP262		8p12	HOMDEL	15	595	2.5%	No
ABCA7		19p13.3	HOMDEL	5	1425	0.4%	No
SERPINE2		2q36.1	AMP	9	1537	0.6%	No
GNAT1		3p21.31	HOMDEL	7	1537	0.5%	No
FSD2		15q25.2	AMP	14	1425	1.0%	No
CCDC169-SOHLH2		13q13.3	AMP	1	523	0.2%	No
CAPRIN1		11p13	AMP	7	1537	0.5%	No
ATRN		20p13	HOMDEL	1	539	0.2%	No
LIFR		5p13.1	AMP	39	1537	2.5%	Yes
MPV17L		16p13.11	AMP	17	1537	1.1%	No
COPA		1q23.2	AMP	65	1481	4.4%	No
SLC37A1		21q22.3	AMP	26	1537	1.7%	No
OTUD1		10p12.2	AMP	11	1425	0.8%	No
ZNF106		15q15.1	HOMDEL	10	1537	0.7%	No
TRIP13		5p15.33	HOMDEL	3	1118	0.3%	Yes
MFSD10		4p16.3	HOMDEL	5	1425	0.4%	No
TNRC18		7p22.1	HOMDEL	5	1425	0.4%	No
LINC00880		3q25.31	HOMDEL	4	1062	0.4%	No
RPL30P11		12p13.1	HOMDEL	2	539	0.4%	No
GNAS		20q13.32	AMP	49	1734	2.8%	Yes
DENND3		8q24.3	AMP	84	1537	5.5%	No
FTL		19q13.33	AMP	16	1537	1.0%	No
ELOA3BP		18q21.1	AMP	5	1174	0.4%	No
SLFN12		17q12	HOMDEL	8	1425	0.6%	No
SERPINB8		18q22.1	AMP	2	902	0.2%	No
LRRC71		1q23.1	AMP	68	1537	4.4%	No
ANKUB1		3q25.1	AMP	50	1537	3.3%	No
IL23R		1p31.3	AMP	8	1425	0.6%	No
SLC15A5		12p12.3	AMP	12	1174	1.0%	No
LINC00536		8q23.3	AMP	63	1174	5.4%	No
ABHD14A-ACY1		3p21.2	AMP	6	523	1.1%	No
LIF		22q12.2	AMP	27	1537	1.8%	No
COPB1		11p15.2	AMP	20	1537	1.3%	No
SNORC		2q37.1	HOMDEL	2	1062	0.2%	No
ITPR3		6p21.31	AMP	26	1537	1.7%	No
RNA5SP28		13q14.3	HOMDEL	3	595	0.5%	No
GSKIP		14q32.2	AMP	7	1425	0.5%	No
SHMT1		17p11.2	AMP	16	1537	1.0%	No
RNA5SP380		14q11.2	HOMDEL	1	539	0.2%	No
SCHLAP1		2q31.3	HOMDEL	1	523	0.2%	No
FAM27E2		9p11.2	HOMDEL	3	1062	0.3%	No
GNAT1		3p21.31	AMP	23	1537	1.5%	No
CEP164		11q23.3	AMP	7	1537	0.5%	No
C8ORF48		8p22	AMP	8	1425	0.6%	No
RN7SL70P		19p13.11	HOMDEL	1	539	0.2%	No
AHRR		5p15.33	HOMDEL	3	1118	0.3%	No
C1GALT1		7p22.1-p21.3	HOMDEL	2	1062	0.2%	No
PPP2R2C		4p16.1	HOMDEL	3	1425	0.2%	No
MBD3L2		19p13.2	HOMDEL	10	1537	0.7%	No
SERPINB9		6p25.2	AMP	24	1537	1.6%	No
CCDC126		7p15.3	AMP	28	1537	1.8%	No
CPHL1P		3q25.1	AMP	23	595	3.9%	No
CA8		8q12.1	HOMDEL	3	475	0.6%	No
ULK4P2		15q13.2	HOMDEL	6	958	0.6%	No
TNNT1		19q13.42	HOMDEL	2	1062	0.2%	No
ARMC12		6p21.31	AMP	21	1537	1.4%	No
AGAP6		10q11.23	AMP	5	1062	0.5%	No
SPATA33		16q24.3	AMP	3	1425	0.2%	No
FAM153A		5q35.3	AMP	14	1537	0.9%	No
RN7SL810P		13q22.3	AMP	5	595	0.8%	No
ASCL4		12q23.3	AMP	2	902	0.2%	No
TNKS2-AS1		10q23.32	AMP	4	523	0.8%	No
ENDOV		17q25.3	AMP	24	1174	2.0%	No
ATAD3C		1p36.33	AMP	8	1481	0.5%	No
ARHGEF17		11q13.4	AMP	29	1537	1.9%	No
BAGE2		21p11.2	HOMDEL	4	1174	0.3%	No
ANKRD26		10p12.1	AMP	8	1425	0.6%	No
NUDT22		11q13.1	AMP	46	1537	3.0%	No
TTL		2q14.1	AMP	12	1118	1.1%	Yes
SPACA7		13q34	HOMDEL	7	1481	0.5%	No
RFPL3S		22q12.3	HOMDEL	3	1118	0.3%	No
RNA5SP227		7p15.3	AMP	10	595	1.7%	No
STON2		14q31.1	HOMDEL	5	1425	0.4%	No
JRK		8q24.3	AMP	59	1537	3.8%	No
SIX5		19q13.32	AMP	37	1537	2.4%	No
RN7SL807P		2q36.1	AMP	4	595	0.7%	No
SPAG5-AS1		17q11.2	AMP	14	579	2.4%	No
USP32P2		17p11.2	HOMDEL	3	539	0.6%	No
KRTAP19-8		21q22.11	AMP	3	886	0.3%	No
PI4KA		22q11.21	HOMDEL	6	1062	0.6%	No
TP53TG3		16p11.2	AMP	22	1174	1.9%	No
APOBEC3A_B		22q13 alternate reference locus	AMP	5	523	1.0%	No
VCPIP1		8q13.1	HOMDEL	2	112	1.8%	No
PYM1		12q13.2	AMP	30	1537	2.0%	No
RGP1		9p13.3	AMP	17	1425	1.2%	No
MCMDC2		8q13.1	HOMDEL	2	112	1.8%	No
LINC00235		16p13.3	HOMDEL	5	579	0.9%	No
CCDC66		3p14.3	AMP	8	1537	0.5%	No
RAPH1		2q33.2	AMP	12	1537	0.8%	No
BTBD19		1p34.1	AMP	25	1481	1.7%	No
FAHD2CP		2q11.2	AMP	9	1174	0.8%	No
TLR8-AS1		Xp22.2	HOMDEL	5	579	0.9%	No
RNA5SP225		6q25.2	AMP	5	595	0.8%	No
SLC47A1		17p11.2	HOMDEL	9	1174	0.8%	No
RN7SL804P		12q15	AMP	7	595	1.2%	No
SNORA70D		16q22.3	AMP	5	1062	0.5%	No
ARL10		5q35.2	AMP	15	1537	1.0%	No
NANOG		12p13.31	HOMDEL	4	1425	0.3%	No
P2RY8		Xp22.33 and Yp11.3	AMP	2	539	0.4%	Yes
LINC00648		14q21.3	AMP	2	1062	0.2%	No
VSTM2B-DT		19q12	AMP	55	579	9.5%	No
RBFOX3		17q25.3	AMP	28	1537	1.8%	No
TRIB3		20p13	HOMDEL	1	539	0.2%	No
PDCD2L		19q13.11	AMP	73	1537	4.7%	No
RNU6ATAC5P		4q13.3	AMP	3	595	0.5%	No
NPIPB4		16p12.2	AMP	5	539	0.9%	No
SGO2		2q33.1	HOMDEL	3	1425	0.2%	No
WASH5P		19p13.3	HOMDEL	10	1425	0.7%	No
NTNG1		1p13.3	AMP	9	1062	0.8%	No
DNAH10OS		12q24.31	AMP	5	539	0.9%	No
RNA5SP229		7p14.3	AMP	8	539	1.5%	No
FADS2		11q12.2	HOMDEL	3	475	0.6%	No
ANKRD54		22q13.1	HOMDEL	1	56	1.8%	No
LINC00301		11q12.2	AMP	12	1537	0.8%	No
LINC01568		16q22.3	HOMDEL	6	523	1.1%	No
SNORD45C		1p31.1	AMP	6	1481	0.4%	No
GOLGA8O		15q13.3	HOMDEL	9	1174	0.8%	No
SPATA2L		16q24.3	AMP	3	1425	0.2%	No
BOC		3q13.2	AMP	17	1537	1.1%	No
LINC00968		8q12.1	AMP	50	1174	4.3%	No
LINC01530		19q13.41	HOMDEL	1	523	0.2%	No
SDR42E1		16q23.3	HOMDEL	21	1537	1.4%	No
B3GNTL1		17q25.3	AMP	14	1537	0.9%	No
FRG1HP		9p11.2	AMP	4	523	0.8%	No
ZNF397		18q12.2	AMP	6	1537	0.4%	No
RNU6ATAC4P		3p22.2	AMP	3	539	0.6%	No
LMTK2		7q21.3	AMP	9	1537	0.6%	No
DNAJC6		1p31.3	AMP	5	1062	0.5%	No
RNA5SP34		13q31.3	HOMDEL	2	595	0.3%	No
SPATC1		8q24.3	AMP	67	1537	4.4%	No
OMD		9q22.31	HOMDEL	6	902	0.7%	Yes
OR11H6		14q11.2	AMP	15	1425	1.1%	No
RNA5SP228		7p15.3	AMP	9	539	1.7%	No
PCDHGB7		5q31.3	HOMDEL	1	539	0.2%	No
SREK1IP1		5q12.3	HOMDEL	13	1425	0.9%	No
SNORD13		8p12	AMP	5	595	0.8%	No
CABYR		18q11.2	HOMDEL	4	1174	0.3%	No
SDHAF1		19q13.12	AMP	64	1537	4.2%	No
DPEP1		16q24.3	HOMDEL	20	1537	1.3%	No
NPIPA2		16p13.11	AMP	13	1174	1.1%	No
LINC00327		13q12.12	AMP	3	635	0.5%	No
RN7SL824P		1p22.1	AMP	3	539	0.6%	No
PRR34-AS1		22q13.31	HOMDEL	11	579	1.9%	No
LINC01512		6p21.1	AMP	13	942	1.4%	No
CHSY1		15q26.3	AMP	18	1481	1.2%	No
HPS6		10q24.32	HOMDEL	6	1425	0.4%	No
RNA5SP231		7q11.22	AMP	6	539	1.1%	No
NUBP2		16p13.3	HOMDEL	3	1062	0.3%	No
PIWIL2		8p21.3	HOMDEL	50	1537	3.3%	No
UQCC2		6p21.31	AMP	22	1537	1.4%	No
MARK4		19q13.32	HOMDEL	2	1062	0.2%	No
PXDNL		8q11.22-q11.23	HOMDEL	4	1014	0.4%	No
RNA5SP228		7p15.3	HOMDEL	1	539	0.2%	No
CTDSPL2		15q15.3-q21.1	HOMDEL	6	1425	0.4%	No
RN7SL819P		17q21.31	AMP	4	595	0.7%	No
MRPL39		21q21.3	HOMDEL	3	1062	0.3%	No
KIAA0895L		16q22.1	AMP	7	1537	0.5%	No
STX19		3q11.2	HOMDEL	1	539	0.2%	No
LOC100506422		9p21.2	HOMDEL	1	523	0.2%	No
OR6C65		12q13.2	HOMDEL	1	523	0.2%	No
NFIA-AS1		1p31.3	AMP	3	523	0.6%	No
P2RY6		11q13.4	HOMDEL	1	363	0.3%	No
SOCS5		2p21	HOMDEL	4	1062	0.4%	No
KIF16B		20p12.1	HOMDEL	4	1062	0.4%	No
PCP2		19p13.2	HOMDEL	10	1537	0.7%	No
CKAP2L		2q14.1	AMP	27	1481	1.8%	No
D2HGDH		2q37.3	AMP	8	1537	0.5%	No
TPPP		5p15.33	HOMDEL	3	1118	0.3%	No
SFTPA2		10q22.3	AMP	39	1537	2.5%	No
RNA5SP230		7p13	AMP	7	595	1.2%	No
GNAO1		16q13	HOMDEL	10	1425	0.7%	No
DDI2		1p36.21	AMP	23	1537	1.5%	No
NOP14-AS1		4p16.3	HOMDEL	3	886	0.3%	No
BORCS7-ASMT		10q24.32	AMP	2	523	0.4%	No
CASP4LP		11q22.3	AMP	2	56	3.6%	No
RN7SL817P		2p21	AMP	9	595	1.5%	No
ZFC3H1		12q21.1	AMP	18	1537	1.2%	No
LINC00618		14q32.2	HOMDEL	2	1062	0.2%	No
NR4A2		2q22-q23	AMP	3	1062	0.3%	No
FOXN4		12q24.11	HOMDEL	1	539	0.2%	No
LINC01136		1q32.1	AMP	15	579	2.6%	No
CDRT8		17p12	AMP	7	1174	0.6%	No
ZNF329		19q13.43	HOMDEL	2	1062	0.2%	No
CILK1		6p12.1	AMP	7	1014	0.7%	Yes
PITX1		5q31.1	HOMDEL	1	539	0.2%	No
PGAP4		9q31.1	AMP	5	1062	0.5%	No
TAS2R64P		12p13.2	HOMDEL	1	539	0.2%	No
ATP6V1E1		22q11.21	HOMDEL	4	1118	0.4%	No
GUSBP11		22q11.23	HOMDEL	2	1062	0.2%	No
GMFG		19q13.2	HOMDEL	3	1425	0.2%	No
RSF1		11q14.1	AMP	28	1425	2.0%	No
PCAT6		1q32.1	AMP	31	1118	2.8%	No
TRAV29DV5		14q11.2	HOMDEL	1	539	0.2%	No
LAMTOR1		11q13.4	HOMDEL	1	363	0.3%	No
ERI1		8p23.1	AMP	3	1425	0.2%	No
NUP98		11p15.4	AMP	8	1062	0.8%	Yes
RPTOR		17q25.3	HOMDEL	2	1062	0.2%	Yes
LYZL1		10p12.1-p11.23	AMP	13	1425	0.9%	No
LINC00491		5q21.1	HOMDEL	8	1062	0.8%	No
LINC01590		6q15-q16.1	HOMDEL	1	363	0.3%	No
KCNIP3		2q11.1	HOMDEL	2	1062	0.2%	No
SAMD5		6q24.3	HOMDEL	1	539	0.2%	No
PLEKHS1		10q25.3	HOMDEL	6	1062	0.6%	No
NPIPB15		16q23.1	AMP	5	539	0.9%	No
CDRT7		17p12	AMP	7	1174	0.6%	No
ALS2CL		3p21.31	AMP	6	1425	0.4%	No
TSKS		19q13.33	HOMDEL	2	1062	0.2%	No
CHCHD6		3q21.3	AMP	14	1537	0.9%	No
TRIB2		2p24.3	AMP	29	1537	1.9%	No
CHL1-AS1		3p26.3	HOMDEL	2	579	0.3%	No
SETD5		3p25.3	AMP	22	1537	1.4%	Yes
CUL7		6p21.1	AMP	13	1481	0.9%	No
FAM153CP		5q35.3	AMP	10	1537	0.7%	No
SLAIN2		4p11	AMP	3	1062	0.3%	No
NAA16		13q14.11	AMP	5	1481	0.3%	No
VEGFB		11q13.1	AMP	45	1537	2.9%	No
SMAD5		5q31.1	AMP	4	1014	0.4%	No
IMP4		2q21.1	AMP	5	1425	0.4%	No
GNGT1		7q21.3	AMP	6	1537	0.4%	No
SELENOV		19q13.2	HOMDEL	2	1062	0.2%	No
LINC01689		21q21.2	AMP	1	523	0.2%	No
P2RX7		12q24.31	AMP	9	1425	0.6%	No
CYP27B1		12q14.1	AMP	3	1062	0.3%	No
PDE8B		5q13.3	AMP	5	1425	0.4%	No
UCP3		11q13.4	HOMDEL	1	363	0.3%	No
LIPE		19q13.2	AMP	18	1537	1.2%	No
MCM3AP		21q22.3	AMP	17	1537	1.1%	No
CCDC22		Xp11.23	AMP	31	1537	2.0%	No
C9ORF85		9q21.13	HOMDEL	1	539	0.2%	No
CCDC134		22q13.2	AMP	7	1537	0.5%	No
NAA40		11q13.1	HOMDEL	6	1537	0.4%	No
OR4F17		19p13.3	HOMDEL	11	1425	0.8%	No
SCAF1		19q13.3-q13.4	HOMDEL	2	1062	0.2%	No
METTL4		18p11.32	HOMDEL	1	539	0.2%	No
GNGT2		17q21.32	AMP	11	1537	0.7%	No
ARRDC3-AS1		5q14.3	HOMDEL	4	523	0.8%	No
C3ORF84		3p21.31	AMP	9	1425	0.6%	No
DCUN1D2		13q34	AMP	26	1537	1.7%	No
TANGO6		16q22.1	AMP	3	1425	0.2%	No
MYRFL		12q15	AMP	7	595	1.2%	No
VEGFC		4q34.3	AMP	2	1062	0.2%	No
KICS2		12q14.2	AMP	1	56	1.8%	No
P2RY1		3q25.2	AMP	45	1537	2.9%	No
SAMD11		1p36.33	HOMDEL	10	1481	0.7%	No
CLLU1-AS1		12q22	AMP	4	1425	0.3%	No
CYP51A1		7q21.2	AMP	6	1537	0.4%	No
ZNF674		Xp11.3	AMP	26	1537	1.7%	No
ADGRL1		19p13.12	AMP	72	1537	4.7%	No
CDK13		7p14.1	AMP	13	1425	0.9%	No
MRPS27		5q13.2	HOMDEL	13	1425	0.9%	No
TAX1BP1		7p15.2	AMP	23	1425	1.6%	No
RPS21		20q13.33	AMP	73	1537	4.7%	No
MMP13		11q22.2	HOMDEL	13	1537	0.8%	No
EPCAM		2p21	HOMDEL	4	1062	0.4%	Yes
JCAD		10p11.23	AMP	15	1537	1.0%	No
SSX8P		Xp11.22	HOMDEL	3	886	0.3%	No
ARL8B		3p26.1	AMP	9	1425	0.6%	No
HS3ST5		6q21-q22.1	HOMDEL	2	1062	0.2%	No
RN7SL343P		9p11.2	HOMDEL	2	539	0.4%	No
GNG10		9q31.3	AMP	7	1425	0.5%	No
C2ORF81		2p13.1	HOMDEL	1	539	0.2%	No
VGF		7q22.1	AMP	12	1537	0.8%	No
P2RY2		11q13.4	AMP	25	1481	1.7%	No
ARRB2		17p13.2	HOMDEL	1	539	0.2%	No
ZNF384		12p13.31	AMP	36	1537	2.3%	Yes
CYP4F23P		19p13.12	AMP	34	595	5.7%	No
XPC		3p25.1	HOMDEL	3	1425	0.2%	Yes
C10ORF82		10q25.3	AMP	8	1425	0.6%	No
RN7SL650P		14q11.2	HOMDEL	1	539	0.2%	No
DYNC2LI1		2p21	HOMDEL	2	1062	0.2%	No
PSMG1		21q22.2	AMP	13	1537	0.8%	No
CYP26A1		10q23.33	AMP	7	1425	0.5%	No
SH3PXD2B		5q35.1	AMP	6	1174	0.5%	No
RPS23		5q14.2	AMP	2	1062	0.2%	No
REM1		20q11.21	AMP	72	1537	4.7%	No
CDNF		10p13	AMP	17	1537	1.1%	No
SSR1		6p24.3	HOMDEL	1	363	0.3%	No
VPS37A		8p22	AMP	3	1425	0.2%	No
FAM81A		15q22.2	AMP	5	1425	0.4%	No
DIP2B		12q13.12	AMP	19	1174	1.6%	No
MUC6		11p15.5	HOMDEL	12	1425	0.8%	No
RB1CC1		8q11.23	AMP	56	1537	3.6%	No
SBNO1		12q24.31	AMP	21	1537	1.4%	No
GNG11		7q21.3	AMP	6	1537	0.4%	No
CDK19		6q21	HOMDEL	2	1062	0.2%	No
STRC		15q15.3	HOMDEL	6	1425	0.4%	No
WDR13		Xp11.23	HOMDEL	3	1425	0.2%	No
PCAT19		19q13.2	AMP	7	579	1.2%	No
LINC01082		16q24.1	HOMDEL	7	579	1.2%	No
ADM		11p15.4	HOMDEL	3	1062	0.3%	No
DEXI		16p13.13	AMP	19	1537	1.2%	No
ASMTL		Xp22.3 and Yp11.3	AMP	2	539	0.4%	Yes
CYP27A1		2q35	AMP	19	1537	1.2%	No
CDRT15P1		17p12	AMP	2	523	0.4%	No
LINC02888		7p21.1	HOMDEL	2	523	0.4%	No
GRID2		4q22.1-q22.2	HOMDEL	16	1425	1.1%	No
REEP1		2p11.2	AMP	10	1537	0.7%	No
PCDHGA6		5q31	HOMDEL	1	539	0.2%	No
KCNG3		2p21	HOMDEL	2	1062	0.2%	No
ARHGAP11A		15q13.3	AMP	5	1062	0.5%	No
NBEA		13q13.3	HOMDEL	8	1537	0.5%	No
USP36		17q25.3	AMP	22	1537	1.4%	No
CCNJL		5q33.3	AMP	5	1174	0.4%	No
OR6F1		1q44	AMP	61	1537	4.0%	No
HDHD3		9q32	HOMDEL	7	902	0.8%	No
RHOH		4p14	HOMDEL	4	1062	0.4%	Yes
CYS1		2p25.1	HOMDEL	3	651	0.5%	No
FXR1		3q26.33	HOMDEL	4	1425	0.3%	No
CCDC169-SOHLH2		13q13.3	HOMDEL	2	579	0.3%	No
MYOSLID-AS1		2q33.3	AMP	2	523	0.4%	No
GAGE2B		Xp11.23	AMP	28	1537	1.8%	No
UIMC1		5q35.2	HOMDEL	1	539	0.2%	No
DIRAS1		19p13.3	HOMDEL	13	1537	0.8%	No
SNORD49B		17p11.2	AMP	5	942	0.5%	No
CYP21A1P		6p21.33	AMP	19	1174	1.6%	No
TP63		3q28	AMP	104	1537	6.8%	Yes
RPS24		10q22.3	AMP	47	1537	3.1%	No
CD300C		17q25.1	AMP	33	1537	2.1%	No
ZFP28		19q13.43	AMP	21	1537	1.4%	No
IFITM2		11p15.5	HOMDEL	14	1537	0.9%	No
ANKRD49		11q21	HOMDEL	7	1425	0.5%	No
ARMCX2		Xq22.1	AMP	3	1062	0.3%	No
VHL		3p25.3	AMP	11	1537	0.7%	Yes
TMEM139		7q34	AMP	11	1537	0.7%	No
FAM107A		3p14.3-p14.2	HOMDEL	8	1537	0.5%	No
NUDT16L1		16p13.3	AMP	14	1537	0.9%	No
SNORD17		20p11.23	AMP	9	1425	0.6%	No
HCST		19q13.12	AMP	69	1537	4.5%	No
CYP24A1		20q13.2	AMP	46	1537	3.0%	No
LINC01859		19p12	AMP	9	579	1.6%	No
RFXANK		19p13.11	AMP	50	1537	3.3%	No
HMBOX1		8p21.1-p12	AMP	16	1537	1.0%	No
SCRT2		20p13	AMP	7	1062	0.7%	No
TMPO		12q23.1	HOMDEL	1	539	0.2%	No
STAMBP		2p13.1	HOMDEL	1	539	0.2%	No
TRMT9B		8p22	AMP	6	1425	0.4%	No
ZNF844		19p13.2	AMP	68	1537	4.4%	No
LOC644936		5q14.1	AMP	2	886	0.2%	No
VIL1		2q35	AMP	20	1425	1.4%	No
ARHGEF11		1q23.1	AMP	70	1537	4.6%	No
THEG5		19q12	HOMDEL	4	1062	0.4%	No
BANP		16q24.2	HOMDEL	24	1537	1.6%	No
SPATA12		3p14.3	HOMDEL	7	1537	0.5%	No
SNORD19		3p21.1	AMP	21	1425	1.5%	No
ASCL4		12q23.3	HOMDEL	1	539	0.2%	No
IER5L		9q34.11	HOMDEL	6	1425	0.4%	No
CEACAM7		19q13.2	HOMDEL	2	1062	0.2%	No
ESRP2		16q22.1	HOMDEL	14	1425	1.0%	No
MBD3L1		19p13.2	AMP	45	1425	3.2%	No
AMY2A		1p21.1	HOMDEL	5	1425	0.4%	No
IGKJ1		2p11.2	AMP	3	595	0.5%	No
GPBP1		5q11.2	AMP	2	1062	0.2%	No
PITPNM2		12q24.31	AMP	32	1537	2.1%	No
SPATA2		20q13.13	AMP	54	1537	3.5%	No
ZNF763		19p13.2	AMP	66	1537	4.3%	No
SGSM2		17p13.3	HOMDEL	1	539	0.2%	No
NANOGNB		12p13.31	HOMDEL	2	1062	0.2%	No
IMPACT		18q11.2	HOMDEL	4	1174	0.3%	No
ZNF467		7q36.1	AMP	9	1174	0.8%	No
SPATA17		1q41	HOMDEL	3	1425	0.2%	No
A2M-AS1		12p13.31	AMP	4	579	0.7%	No
PKD1L3		16q22.2	HOMDEL	21	1425	1.5%	No
SNORD50B		6q14.3	AMP	3	886	0.3%	No
RNY4P24		13q14.3	HOMDEL	3	595	0.5%	No
C20ORF173		20q11.22	AMP	28	1537	1.8%	No
ST3GAL2		16q22.1	AMP	16	1481	1.1%	No
RDH10		8q21.11	AMP	52	1537	3.4%	No
TMEM223		11q12.3	HOMDEL	6	1537	0.4%	No
PELI3		11q13.2	HOMDEL	3	1425	0.2%	No
TMEM230		20p13-p12.3	AMP	10	1062	0.9%	No
SMAD1		4q31.21	AMP	8	1425	0.6%	No
BDH1		3q29	HOMDEL	2	1062	0.2%	No
CBX6		22q13.1	HOMDEL	3	1118	0.3%	No
RCBTB1		13q14.2	AMP	2	1062	0.2%	No
FUBP1		1p31.1	AMP	6	1481	0.4%	Yes
GNG7		19p13.3	AMP	3	1062	0.3%	No
KLLN		10q23	HOMDEL	42	1537	2.7%	No
TESC		12q24.22	HOMDEL	1	539	0.2%	No
RN7SL689P		5q23.2	HOMDEL	2	539	0.4%	No
ADAM28		8p21.2	AMP	6	1425	0.4%	No
TNFRSF13C		22q13.2	AMP	9	1537	0.6%	No
CENPC		4q13.2	HOMDEL	1	539	0.2%	No
CORT		1p36.22	AMP	14	1481	0.9%	No
RAB4B		19q13.2	AMP	40	1537	2.6%	No
USP54		10q22.2	HOMDEL	3	1062	0.3%	No
ST3GAL4		11q24.2	AMP	11	1537	0.7%	No
MAD2L1		4q27	AMP	1	363	0.3%	No
BBS7		4q27	AMP	1	363	0.3%	No
MAGEA9		Xq28	HOMDEL	5	1174	0.4%	No
NCKIPSD		3p21.31	AMP	14	1537	0.9%	No
ISLR2		15q24.1	AMP	22	1537	1.4%	No
IL22RA1		1p36.11	HOMDEL	7	1481	0.5%	No
RPL11		1p36.11	HOMDEL	7	1481	0.5%	No
DPPA4		3q13.13	AMP	5	1425	0.4%	No
ATP11A-AS1		13q34	HOMDEL	2	523	0.4%	No
OR9A2		7q34	AMP	8	1537	0.5%	No
DDX58		9p21.1	HOMDEL	1	539	0.2%	No
